set_num,name,theme,subtheme,year,pieces_count,minifigs_count,minifigs,availability,retail_price_us,retail_price_uk,retail_price_ca,retail_price_eu,retail_price_au,ean,upc,released_date,retired_date,retired,current_value_new,current_value_used,current_value_used_low,current_value_used_high,forecast_value_new_2_years,forecast_value_new_5_years,rolling_growth_lastyear,rolling_growth_12months,currency,event_condition,event_date,event_value
8095-1,General Grievous' Starfighter,Star Wars,The Clone Wars,2010,454,4,"sw0216a,sw0216s,sw0226,sw0254",retail,49.99,45.99,69.99,49.99,99.99,0689960099349,6.73419E+11,7/30/2010,4/15/2012,TRUE,171.27,59.9,51.66,71.88,202.25,247.98,4.49,1.78,EUR,new,9/4/2025,195.97
8099-1,Midi-Scale Imperial Star Destroyer,Star Wars,Episode IV,2010,423,,,retail,39.99,34.99,49.99,39.99,59.99,5.70201E+12,6.73419E+11,8/2/2010,1/11/2011,TRUE,103.9,65.99,57.55,79.19,116.42,134.89,1.74,-1.99,EUR,new,9/4/2025,117.84
8128-1,Cad Bane's Speeder,Star Wars,The Clone Wars,2010,318,5,"sw0222,sw0244,sw0285,sw0287,sw0288",retail,49.99,45.99,64.99,54.99,89.99,5.00016E+12,6.73419E+11,8/2/2010,3/29/2012,TRUE,140.79,70.4,64.94,84.48,146.11,160.04,1.6,0.38,EUR,new,9/4/2025,140.8
8129-1,AT-AT Walker,Star Wars,Episode V,2010,815,8,"sw0115,sw0161a,sw0262,sw0289,sw0290,sw0291,sw0295",retail,109.99,91.99,139.99,119.99,169.99,5.70201E+12,6.73419E+11,8/2/2010,12/2/2011,TRUE,253.92,141.08,124.78,169.3,261.54,281.49,2.73,1.26,EUR,new,9/4/2025,223.54
911508-1,Mini Slave I,Star Wars,Magazine Gifts,2015,20,,,promotional,,,,,,,,8/1/2015,,TRUE,4.88,3.11,3.04,3.72,5.02,5.35,1.86,-0.11,EUR,new,9/4/2025,5.46
911510-1,Micro Star Destroyer and TIE Fighter,Star Wars,Magazine Gifts,2015,21,,,promotional,,,,,,,,,,TRUE,4.54,3.41,3.27,4.09,4.88,5.39,0.18,4.8,EUR,new,9/4/2025,4.44
911607-1,Millennium Falcon,Star Wars,Magazine Gifts,2016,42,,,promotional,,,,,,,,,,TRUE,8.62,3.67,2.54,4.4,9.75,11.42,1.08,4.71,EUR,new,9/4/2025,7.32
911608-1,Landspeeder,Star Wars,Magazine Gifts,2016,37,,,promotional,,,,,,,,,,TRUE,4.29,2.46,2.4,2.95,4.86,5.69,8.55,-1.08,EUR,new,9/4/2025,4.42
911609-1,Naboo Starfighter,Star Wars,Magazine Gifts,2016,34,,,promotional,,,,,,,,3/1/2016,,TRUE,6.12,2.63,1.96,3.28,6.85,7.91,2.74,6.14,EUR,new,9/4/2025,5.1
911610-1,Probe Droid,Star Wars,Magazine Gifts,2016,,1,sw0712a,promotional,,,,,,,,,,TRUE,5.24,4.35,4.32,4.9,5.68,6.34,-1.9,0.97,EUR,new,9/4/2025,5.08
911611-1,AAT,Star Wars,Magazine Gifts,2016,37,,,promotional,,,,,,,,,,TRUE,5.14,2.07,1.75,2.49,5.54,6.11,5.53,5.05,EUR,new,9/4/2025,4.99
9488-1,Elite Clone Trooper & Commando Droid Battle Pack,Star Wars,The Clone Wars,2012,98,4,"sw0359,sw0377,sw0378",retail,12.99,11.99,15.99,16.99,22.99,5.70201E+12,6.73419E+11,2/2/2012,12/21/2013,TRUE,141.13,40.47,39.57,48.57,155.94,194.74,3.01,2.63,EUR,new,9/4/2025,132.74
9489-1,Endor Rebel Trooper & Imperial Trooper Battle Pack,Star Wars,Episode VI,2012,77,4,"sw0005b,sw0366,sw0367,sw0368",retail,12.99,11.99,15.99,16.99,22.99,5.70201E+12,6.73419E+11,2/2/2012,11/5/2013,TRUE,34.59,21.3,19.08,25.57,38.49,44.26,1.21,2.13,EUR,new,9/4/2025,34.87
9490-1,Droid Escape,Star Wars,Episode IV,2012,137,4,"sw0217,sw0364,sw0365,sw0383",retail,19.99,19.99,24.99,26.99,39.99,5.70201E+12,6.73419E+11,2/2/2012,12/12/2013,TRUE,46.16,16.65,14.69,19.98,51.86,60.26,2.68,2.58,EUR,new,9/4/2025,44.79
9491-1,Geonosian Cannon,Star Wars,The Clone Wars,2012,132,4,"sw0379,sw0380,sw0381,sw0382",retail,19.99,19.99,24.99,26.99,39.99,5.70201E+12,6.73419E+11,2/2/2012,5/4/2014,TRUE,85.4,30.72,26.05,36.86,92.77,112.08,3.85,3.99,EUR,new,9/4/2025,85.33
9493-1,X-wing Starfighter,Star Wars,Episode IV,2012,560,4,"sw0217,sw0295,sw0372,sw0373",retail,59.99,49.99,74.99,69.99,119.99,5.70201E+12,6.73419E+11,2/21/2012,1/2/2015,TRUE,109.24,39.49,35.2,47.38,114.95,129.87,2.48,-0.14,EUR,new,9/4/2025,106.12
9494-1,Anakin's Jedi Interceptor,Star Wars,Episode III,2012,300,5,"sw0096,sw0217,sw0361,sw0362,sw0363",retaillimited,39.99,34.99,49.99,39.99,69.99,5.70201E+12,7.36126E+11,2/2/2012,12/9/2013,TRUE,209.4,61.6,60.35,73.92,231.71,290.15,4.24,6.04,EUR,new,9/4/2025,191.23
9495-1,Gold Leader's Y-wing Starfighter,Star Wars,Episode IV,2012,458,3,"sw0369,sw0370,sw0371",retaillimited,49.99,49.99,64.99,49.99,89.99,5.70201E+12,6.73419E+11,2/2/2012,11/29/2013,TRUE,142.56,61.6,52.44,73.92,166.21,201.14,4.11,2.48,EUR,new,9/4/2025,124.41
9496-1,Desert Skiff,Star Wars,Episode VI,2012,213,4,"sw0395,sw0396,sw0397,sw0398",retail,24.99,24.99,29.99,29.99,49.99,5.70201E+12,6.73419E+11,7/23/2012,5/3/2014,TRUE,52.79,25.04,21.99,30.05,54.36,58.45,1.44,-0.95,EUR,new,9/4/2025,55.33
9500-1,Sith Fury-class Interceptor,Star Wars,The Old Republic,2012,741,3,"sw0413,sw0414",retail,89.99,79.99,119.99,99.99,139.99,5.70201E+12,6.73419E+11,7/23/2012,3/30/2014,TRUE,513.4,261.35,225.12,313.62,560.19,682.74,1.9,4.37,EUR,new,9/4/2025,468.39
9516-1,Jabba's Palace,Star Wars,Episode VI,2012,717,9,"sw0011a,sw0402,sw0403,sw0404,sw0405,sw0406,sw0407,sw0408,sw0412,sw0978",retail,119.99,119.99,149.99,139.99,169.99,5.70201E+12,6.73419E+11,7/23/2012,3/4/2014,TRUE,331.28,263.99,239.35,316.79,376.9,444.26,1.35,1.79,EUR,new,9/4/2025,323.97
9674-1,Naboo Starfighter & Naboo,Star Wars,Planet Set,2012,56,1,sw0340,retail,9.99,9.99,12.99,9.99,15.99,5.70201E+12,6.73419E+11,2/2/2012,11/5/2012,TRUE,21.83,12.86,10.55,15.43,24.38,28.12,-1.57,2.16,EUR,new,9/4/2025,17.54
9678-1,Twin-Pod Cloud Car & Bespin,Star Wars,Planet Set,2012,78,1,sw0400,retail,9.99,9.99,12.99,9.99,15.99,5.70201E+12,6.73419E+11,7/23/2012,11/5/2013,TRUE,15.6,8.75,8.41,10.5,17.54,20.41,1.8,3.43,EUR,new,9/4/2025,14.19
9679-1,AT-ST & Endor,Star Wars,Planet Set,2012,65,1,sw0401,retail,9.99,9.99,12.99,9.99,15.99,5.70201E+12,6.73419E+11,7/23/2012,12/25/2013,TRUE,23.53,10.55,9.26,12.66,26.86,31.77,1.75,0.75,EUR,new,9/4/2025,23.04
CELEBV-1,Fan Celebration V CubeDude The Bounty Hunter Edition,Promotional,Cube Dudes,2010,496,,,exclusive,74.99,,,,,,,8/12/2010,8/15/2010,TRUE,271.92,181.71,178.08,218.05,307.54,360.12,1.04,-1.97,EUR,new,9/4/2025,271.19
6211-1,Imperial Star Destroyer,Star Wars,Episode IV,2006,1367,9,"sw0036a,sw0040,sw0040b,sw0123,sw0154,sw0155,sw0156,sw0157,sw0188a,sw0213,sw0214",retail,99.99,79.99,149.99,,,0853028000022,6.73419E+11,6/1/2006,4/8/2008,TRUE,400.4,140.66,131.99,168.78,463.18,537.99,1.9,1.08,EUR,used,9/5/2025,145.14
7101-1,Lightsaber Duel,Star Wars,Episode I,1999,52,2,"sw0003,sw0027",retail,5.99,,,,,0042884071011,042884071011,,,TRUE,82.36,31.07,27.02,37.29,88.03,102.85,-0.54,-0.42,EUR,used,9/5/2025,30.1
7104-1,Desert Skiff,Star Wars,Episode VI,2000,55,2,"sw0015,sw0020",retail,5.99,4.99,,,,5.70201E+12,042884071042,1/1/2000,,TRUE,57.19,20.53,18.48,24.64,63.92,71.94,2.68,1.87,EUR,used,9/5/2025,25.2
7110-1,Landspeeder,Star Wars,Episode IV,1999,49,2,"sw0021,sw0023",retail,5.99,,,,,5.70201E+12,042884071103,,,TRUE,87.12,22,18.48,26.4,99.62,114.51,1.92,2.1,EUR,used,9/5/2025,20.96
7111-1,Droid Fighter,Star Wars,Episode I,1999,62,,,retail,5.99,,,,,0885240157390,042884071110,,,TRUE,41.68,12.2,11.44,14.63,46.47,52.19,1.92,-0.85,EUR,used,9/5/2025,10.56
7124-1,Flash Speeder,Star Wars,Episode I,2000,106,1,sw0022,retail,9.99,7.99,,12.99,15.99,5.70201E+12,042884071240,1/1/2000,,TRUE,65.96,21.11,18.12,25.34,75.5,86.89,-0.7,1.24,EUR,used,9/5/2025,21.11
7128-1,Speeder Bikes,Star Wars,Episode VI,1999,93,3,"sw0005,sw0018",retail,9.99,,,,15.99,5.70201E+12,042884071288,,,TRUE,79.19,30.87,28.74,37.04,87.51,99.79,2.42,-1.74,EUR,used,9/5/2025,25.19
7130-1,Snowspeeder,Star Wars,Episode V,1999,215,3,"sw0012,sw0016,sw0019",retail,19.99,,,,,5.70201E+12,042884071301,3/1/1999,,TRUE,138.6,35.19,30.8,42.23,156.29,177.36,3.13,1.85,EUR,used,9/5/2025,33.44
7131-1,Anakin's Podracer,Star Wars,Episode I,1999,136,3,"sw0008,sw0025,sw0037",retail,14.99,,,,,,042884071318,3/1/1999,,TRUE,93.68,26.39,22,31.67,104.42,117.22,0.52,3.05,EUR,used,9/5/2025,24.65
7140-1,X-Wing Fighter,Star Wars,Episode IV,1999,266,4,"sw0009,sw0019,sw0028,sw0034",retail,29.99,,,,,,042884071400,3/1/1999,,TRUE,237.24,68.05,60.86,81.66,263.31,301.8,-0.08,-0.18,EUR,used,9/5/2025,60.13
7141-1,Naboo Fighter,Star Wars,Episode I,1999,179,4,"sw0001b,sw0007,sw0028",retail,19.99,,,,,5.70201E+12,042884071417,3/1/1999,,TRUE,131.46,35.2,30.8,42.24,149.43,170.84,1.39,3.38,EUR,used,9/5/2025,31.11
7144-1,Slave I,Star Wars,Episode V,2000,166,1,sw0002,retail,19.99,12.99,,,,5.70201E+12,042884071448,,,TRUE,210.58,68.05,58.86,81.66,242.09,279.65,1.16,1.08,EUR,used,9/5/2025,62.74
7151-1,Sith Infiltrator,Star Wars,Episode I,1999,244,1,sw0003,retail,29.99,,,,,5.70201E+12,042884071516,3/1/1999,,TRUE,166.52,45.75,38.72,54.9,190.16,218.32,6.31,1.43,EUR,used,9/5/2025,36.02
7155-1,Trade Federation AAT,Star Wars,Episode I,2000,158,2,sw0001b,retail,19.99,12.99,,,,5.70201E+12,7.83329E+11,,,TRUE,263.12,58.46,54.6,70.15,301.63,347.52,2.05,1.91,EUR,used,9/5/2025,54.83
7159-1,Star Wars Bucket,Star Wars,Episode I,2000,292,3,"sw0006,sw0008,sw0017",retail,24.99,,34.99,,,5.70201E+12,042884071592,,,TRUE,332.52,51.96,48.85,62.34,380.63,437.97,-2.77,-4.84,EUR,used,9/5/2025,49.73
7161-1,Gungan Sub,Star Wars,Episode I,1999,379,3,"sw0017,sw0024,sw0027",retail,49.99,,,,,5.70201E+12,042884071615,3/1/1999,,TRUE,283.94,70.87,62.75,87.99,323.07,369.7,5.93,3.96,EUR,used,9/5/2025,81.63
7171-1,Mos Espa Podrace,Star Wars,Episode I,1999,896,10,"sw0008,sw0017,sw0025,sw0027,sw0028,sw0037,sw0039,sw0043,sw0064,sw0980",retail,89.99,,,,,5.70201E+12,042884071714,3/1/1999,,TRUE,354.22,129.57,114.39,155.49,397.86,449.86,4.32,1.98,EUR,used,9/5/2025,130.71
7180-1,B-Wing at Rebel Control Center,Star Wars,Episode VI,2000,338,3,"sw0029,sw0032,sw0034",retail,29.99,,,,,5.70201E+12,042884071806,1/1/2000,,TRUE,158.4,51.04,46.48,61.25,167.94,192.93,1.32,0.57,EUR,used,9/5/2025,57.05
7184-1,Trade Federation MTT,Star Wars,Episode I,2000,470,7,sw0001b,retail,49.99,,,,79.99,5.70201E+12,042884071844,1/1/2000,,TRUE,245.46,87.99,76.94,105.59,275.64,311.62,12.53,-0.12,EUR,used,9/5/2025,86.53
75008-1,TIE Bomber & Asteroid Field,Star Wars,Planet Set,2013,60,1,sw0457,retail,9.99,9.99,12.99,12.99,15.99,5.70201E+12,6.73419E+11,3/1/2013,2/4/2014,TRUE,40.94,20.23,16.77,24.28,46.75,55.34,2.52,6.14,EUR,used,9/5/2025,18.37
75015-1,Corporate Alliance Tank Droid,Star Wars,Episode II,2013,271,3,"sw0442,sw0467b,sw0468",retail,19.99,19.99,24.99,26.99,39.99,5.70201E+12,6.73419E+11,8/1/2013,12/1/2014,TRUE,138.18,57.18,50.77,68.62,157.28,207.33,0.63,-0.47,EUR,used,9/5/2025,57.25
75017-1,Duel on Geonosis,Star Wars,Episode II,2013,391,4,"sw0471,sw0472,sw0473,sw0474",retail,39.99,39.99,49.99,49.99,69.99,5.70201E+12,6.73419E+11,8/1/2013,12/1/2014,TRUE,257.77,123.52,114.39,157.16,281.19,342.53,0.72,2.47,EUR,used,9/5/2025,131.71
75018-1,JEK-14's Stealth Starfighter,Star Wars,Original Content,2013,550,4,"sw0475,sw0476,sw0477,sw0478",retail,69.99,59.99,89.99,69.99,89.99,5.70201E+12,6.73419E+11,8/1/2013,12/3/2014,TRUE,230.09,105.6,87.99,126.72,261.4,307.62,2.2,1.21,EUR,used,9/5/2025,92.96
75020-1,Jabba's Sail Barge,Star Wars,Episode VI,2013,850,6,"sw0217a,sw0402,sw0483,sw0485,sw0486,sw0487",retail,119.99,99.99,149.99,119.99,149.99,5.70201E+12,6.73419E+11,8/1/2013,1/2/2015,TRUE,330.25,204.97,186.55,245.96,347.12,391.34,3.48,0.83,EUR,used,9/5/2025,204.34
75021-1,Republic Gunship,Star Wars,Episode II,2013,1175,7,"sw0092,sw0488,sw0489,sw0490,sw0491,sw0492",retail,119.99,109.99,149.99,129.99,179.99,5.70201E+12,6.73419E+11,8/1/2013,12/30/2014,TRUE,647.06,278.92,246.4,334.71,706.26,861.35,-0.49,3.09,EUR,used,9/5/2025,280.72
75022-1,Mandalorian Speeder,Star Wars,The Clone Wars,2013,211,3,"sw0493,sw0494,sw0495",retail,24.99,24.99,29.99,29.99,39.99,5.70201E+12,6.73419E+11,8/1/2013,11/29/2014,TRUE,146.99,61.59,57.1,73.91,176.12,219.14,0.37,2.76,EUR,used,9/5/2025,61.57
75058-1,MTT,Star Wars,Episode I,2014,954,12,"sw0001b,sw0001c,sw0360,sw0591,sw0592,sw0593,sw0594",retail,89.99,89.99,109.99,99.99,149.99,5.70202E+12,6.73419E+11,8/2/2014,12/26/2015,TRUE,344.99,165.58,146.43,198.7,404.29,491.84,2.48,2.96,EUR,used,9/5/2025,176
7654-1,Droids Battle Pack,Star Wars,Episode III,2007,102,7,"sw0001b,sw0092",retail,9.99,8.99,,12.99,15.99,0885220329328,6.73419E+11,10/24/2007,9/11/2008,TRUE,70.39,25.51,22,30.62,78.59,88.37,1.55,-0.05,EUR,used,9/5/2025,22.81
7655-1,Clone Troopers Battle Pack,Star Wars,Episode III,2007,58,4,"sw0091,sw0126,sw0128a",retail,9.99,8.99,,12.99,15.99,5.70201E+12,6.73419E+11,10/24/2007,9/11/2008,TRUE,86.74,43.12,38.52,51.74,91.27,103.85,0.74,3.89,EUR,used,9/5/2025,45.68
7658-1,Y-Wing Fighter,Star Wars,Episode IV,2007,454,2,"sw0029,sw0029a,sw0094",retail,39.99,39.99,54.99,,,5.70201E+12,6.73419E+11,10/24/2007,9/18/2008,TRUE,128.14,45.25,40.3,54.3,143.05,160.83,5.11,3.13,EUR,used,9/5/2025,52.75
7659-1,Imperial Landing Craft,Star Wars,Episode IV,2007,471,5,"sw0035b,sw0036b,sw0109a,sw0188,sw0199",retail,49.99,48.95,69.99,,,5.70201E+12,6.73419E+11,10/24/2007,12/19/2008,TRUE,185.39,70.4,66,84.48,205.49,229.45,6.2,2.99,EUR,used,9/5/2025,76.6
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,Star Wars,Episode III,2007,575,2,"sw0162,sw0163",retail,49.99,48.95,,66.99,99.99,5.70201E+12,6.73419E+11,10/24/2007,1/28/2009,TRUE,388.23,162.8,154.14,195.36,436.52,494.08,5.93,4.18,EUR,used,9/5/2025,156.46
7662-1,Trade Federation MTT,Star Wars,Episode I,2007,1330,21,"sw0001c,sw0095,sw0096,sw0164",retail,99.99,78.29,139.99,,,,6.73419E+11,10/24/2007,12/18/2008,TRUE,1215.28,296.43,270.34,355.71,1375.6,1566.66,1.84,4.12,EUR,used,9/5/2025,290.74
7666-1,Hoth Rebel Base,Star Wars,Episode V,2007,548,8,"sw0012b,sw0090,sw0115,sw0165,sw0167,sw0171",retail,49.99,39.99,,59.99,,5.70201E+12,6.73419E+11,10/24/2007,1/16/2009,TRUE,218.64,97.07,95.14,116.49,248.15,283.32,3.54,3.42,EUR,used,9/5/2025,97.07
7668-1,Rebel Scout Speeder,Star Wars,Legends,2008,82,4,sw0187,retail,9.99,9.79,,,24.99,5.70201E+12,6.73419E+11,12/22/2007,5/8/2009,TRUE,59.73,21.99,17.6,26.39,68.03,80.73,1.83,5.06,EUR,used,9/5/2025,20.07
7669-1,Anakin's Jedi Starfighter,Star Wars,The Clone Wars,2008,153,2,"sw0028,sw0183",retail,19.99,21.49,,25.99,29.99,5.70201E+12,6.73419E+11,12/22/2007,11/10/2009,TRUE,118.01,27.92,24.96,34.15,136.25,157.99,2.63,2.59,EUR,used,9/5/2025,29.67
7670-1,Hailfire Droid & Spider Droid,Star Wars,The Clone Wars,2008,249,4,"sw0001c,sw0092,sw0184,sw0964",retail,19.99,19.99,,,,5.05532E+12,6.73419E+11,12/22/2007,11/24/2009,TRUE,175.17,43.35,39.6,52.03,196.93,222.84,2.96,2.15,EUR,used,9/5/2025,43.75
7671-1,AT-AP Walker,Star Wars,Episode III,2008,392,2,sw0189,retail,39.99,39.15,,46.99,,,6.73419E+11,12/22/2007,6/19/2009,TRUE,175.61,70.4,61.6,84.48,197.29,223.12,2.49,4.3,EUR,used,9/5/2025,66.11
7673-1,MagnaGuard Starfighter,Star Wars,The Clone Wars,2008,431,2,sw0190,retail,44.99,39.15,,45.99,,,6.73419E+11,7/28/2008,12/2/2009,TRUE,235.13,65.7,46.63,78.84,263.6,297.52,4.88,5.85,EUR,used,9/5/2025,53.68
7674-1,V-19 Torrent,Star Wars,The Clone Wars,2008,471,1,sw0191,retail,54.99,48.95,,64.99,,0599038636485,6.73419E+11,7/28/2008,12/4/2009,TRUE,336.21,103.73,96.8,124.48,392.22,458.96,2.39,1.29,EUR,used,9/5/2025,111.17
7675-1,AT-TE Walker,Star Wars,The Clone Wars,2008,798,6,"sw0001b,sw0183,sw0192,sw0193,sw0194,sw0201",retail,89.99,69.99,,68.49,149.99,0794819120171,6.73419E+11,7/28/2008,6/14/2010,TRUE,582.55,214.77,181.68,257.73,629.66,753.03,2.31,1.73,EUR,used,9/5/2025,199.87
7676-1,Republic Attack Gunship,Star Wars,The Clone Wars,2008,1034,7,"sw0195,sw0196,sw0197,sw0198,sw0200,sw0311",retail,119.99,84.99,,139.99,179.99,5.70201E+12,6.73419E+11,7/28/2008,6/24/2010,TRUE,833.07,251.06,221.76,301.26,933.5,1053.19,2.85,3.73,EUR,used,9/5/2025,251.08
7679-1,Republic Fighter Tank,Star Wars,The Clone Wars,2008,592,2,"sw0201,sw0203",retail,49.99,48.95,,49.99,89.99,,6.73419E+11,10/19/2008,12/17/2009,TRUE,310.9,90.53,80.97,108.64,363.04,425.2,2.58,1.18,EUR,used,9/5/2025,86.88
7680-1,The Twilight,Star Wars,The Clone Wars,2008,882,4,"sw0028,sw0183,sw0192,sw0193",retail,99.99,68.49,,99.99,149.99,0689978673067,6.73419E+11,7/28/2008,11/29/2009,TRUE,308,158.39,140.8,190.07,315.4,335.05,-0.76,1.02,EUR,used,9/5/2025,160.74
7681-1,Separatist Spider Droid,Star Wars,The Clone Wars,2008,206,5,"sw0001c,sw0092,sw0184,sw0201,sw0202,sw0202b",retail,29.99,21.49,,,49.99,,6.73419E+11,7/28/2008,12/6/2009,TRUE,427.89,119.53,111.05,143.43,491.83,589.58,4.11,4.36,EUR,used,9/5/2025,115.47
7748-1,Corporate Alliance Tank Droid,Star Wars,The Clone Wars,2009,216,4,"sw0001c,sw0233",retail,24.99,24.99,29.99,26.99,39.99,5.70201E+12,6.73419E+11,6/28/2009,11/28/2010,TRUE,129.95,43.34,37.88,52.01,152.28,178.88,-0.05,1.62,EUR,used,9/5/2025,39.59
7749-1,Echo Base,Star Wars,Episode V,2009,155,5,"sw0115,sw0252,sw0253,sw0253a",retail,24.99,24.99,29.99,29.99,39.99,5.70201E+12,6.73419E+11,6/28/2009,11/28/2010,TRUE,70.61,30.77,26.39,36.93,79.91,91,4.75,2,EUR,used,9/5/2025,35.19
8014-1,Clone Walker Battle Pack,Star Wars,The Clone Wars,2009,72,4,"sw0201,sw0221,sw0223",retail,11.99,9.99,14.99,14.99,19.99,5.70201E+12,6.73419E+11,12/28/2008,12/18/2010,TRUE,102.48,38.16,32.51,45.79,116.06,132.25,3.35,3.09,EUR,used,9/5/2025,36.1
8015-1,Assassin Droids Battle Pack,Star Wars,The Clone Wars,2009,94,5,"sw0222,sw0229",retail,11.99,9.99,14.99,14.99,19.99,5.70201E+12,6.73419E+11,12/28/2008,12/3/2010,TRUE,51.46,9.13,8.67,10.96,58.48,66.83,2.9,2.26,EUR,used,9/5/2025,8.78
8017-1,Darth Vader's TIE Fighter,Star Wars,Episode IV,2009,251,1,sw0209,retail,29.99,34.99,39.99,,,5.70201E+12,6.73419E+11,12/28/2008,11/28/2010,TRUE,212.76,44,39.59,52.8,248.78,291.7,3.28,0.39,EUR,used,9/5/2025,43.44
8018-1,Armored Assault Tank,Star Wars,The Clone Wars,2009,407,7,"sw0001b,sw0201,sw0219,sw0230",retail,49.99,39.99,64.99,49.99,69.99,,6.73419E+11,12/28/2008,11/28/2010,TRUE,268.4,70.4,58.77,84.48,300.64,339.07,0.76,3.37,EUR,used,9/5/2025,65.7
8019-1,Republic Attack Shuttle,Star Wars,The Clone Wars,2009,636,3,"sw0191,sw0201,sw0220",retail,59.99,49.99,79.99,69.99,99.99,,6.73419E+11,12/28/2008,11/28/2010,TRUE,305.33,111.23,95.23,133.48,348.14,399.15,3.08,1.49,EUR,used,9/5/2025,97.68
8036-1,Separatist Shuttle,Star Wars,The Clone Wars,2009,259,5,"sw0001c,sw0095a,sw0241,sw0242",retail,29.99,34.99,39.99,36.99,59.99,5.05242E+12,6.73419E+11,6/28/2009,11/28/2010,TRUE,127.67,53.95,49.81,64.74,141.69,158.39,3.52,0.94,EUR,used,9/5/2025,54.96
8037-1,Anakin's Y-wing Starfighter,Star Wars,The Clone Wars,2009,570,3,"sw0183,sw0192,sw0255",retail,59.99,49.99,79.99,69.99,99.99,5.70201E+12,6.73419E+11,6/28/2009,12/11/2010,TRUE,282,123.19,111.94,147.83,315.52,355.48,-0.25,2.5,EUR,used,9/5/2025,123.19
8083-1,Rebel Trooper Battle Pack,Star Wars,Episode V,2010,79,4,"sw0258,sw0259,sw0260",retail,11.99,9.99,14.99,14.99,22.99,5.70201E+12,6.73419E+11,12/30/2009,12/27/2011,TRUE,31.06,13.16,12.33,15.8,34.85,40.45,2.25,2.03,EUR,used,9/5/2025,11.2
8084-1,Snowtrooper Battle Pack,Star Wars,Episode V,2010,74,4,"sw0115,sw0261,sw0262",retail,11.99,9.99,14.99,14.99,22.99,5.70201E+12,6.73419E+11,12/30/2009,12/26/2011,TRUE,29.44,15.45,14.07,18.54,32.67,37.44,0.3,2.78,EUR,used,9/5/2025,14.04
8085-1,Freeco Speeder,Star Wars,The Clone Wars,2010,177,2,"sw0263,sw0264",retail,24.99,21.99,34.99,26.99,49.99,,6.73419E+11,12/30/2009,12/4/2011,TRUE,54.38,20.23,17.6,24.28,61.46,71.91,-1.47,0.63,EUR,used,9/5/2025,18.84
8086-1,Droid Tri-Fighter,Star Wars,The Clone Wars,2010,268,3,"sw0227,sw0228",retail,24.99,25.99,34.99,26.99,49.99,5.70201E+12,6.73419E+11,12/30/2009,11/29/2011,TRUE,89.01,39.55,31.84,47.46,105.35,129.47,4.99,3.13,EUR,used,9/5/2025,32.72
8088-1,ARC-170 Starfighter,Star Wars,Episode III,2010,396,4,"sw0163,sw0265,sw0266,sw0267",retail,59.99,49.99,79.99,69.99,109.99,0034535835356,6.73419E+11,12/30/2009,5/5/2012,TRUE,353.71,114.14,105.59,136.97,414.85,505.11,2,2.04,EUR,used,9/5/2025,112.16
8089-1,Hoth Wampa Cave,Star Wars,Episode V,2010,297,3,"gen019,sw0098,sw0260",retail,39.99,35.99,54.99,49.99,79.99,5.70201E+12,6.73419E+11,7/30/2010,11/23/2011,TRUE,154.44,70.38,61.6,84.46,172.59,199.37,2.05,3.16,EUR,used,9/5/2025,68.53
8093-1,Plo Koon's Jedi Starfighter,Star Wars,The Clone Wars,2010,175,2,"sw0119,sw0198",retail,24.99,25.99,34.99,26.99,49.99,5.70201E+12,6.73419E+11,7/30/2010,12/15/2011,TRUE,175.23,53.42,48.18,64.11,190.2,229.42,3.48,2.38,EUR,used,9/5/2025,45
8096-1,Emperor Palpatine's Shuttle,Star Wars,Episode III,2010,592,4,"sw0210,sw0281,sw0282,sw0283",retail,59.99,61.99,79.99,69.99,89.99,5.70201E+12,6.73419E+11,7/30/2010,12/10/2011,TRUE,175.99,61.6,59.47,73.92,202.37,241.33,1.49,1.08,EUR,used,9/5/2025,61.59
8097-1,Slave I,Star Wars,Episode V,2010,573,3,"sw0278,sw0279,sw0280,sw0978",retail,79.99,81.99,109.99,89.99,149.95,5.70201E+12,6.73419E+11,7/30/2010,11/26/2011,TRUE,168.67,70.4,58.61,84.48,187.59,215.53,3.14,1.55,EUR,used,9/5/2025,69.38
2856197-1,Shadow ARF Trooper,Star Wars,Exclusive Minifigs,2011,5,1,sw0315,promotional,,,,,,,6.73419E+11,5/3/2011,5/4/2011,TRUE,370.16,294.21,264,353.06,424.47,504.64,0.74,1.52,EUR,used,9/6/2025,307.99
30246-1,Imperial Shuttle,Star Wars,Episode VI,2014,57,,,retaillimited,3.99,,,,,5.70202E+12,6.73419E+11,2/1/2014,7/30/2014,TRUE,8.72,3.51,3.44,4.22,9.82,11.45,1.3,2.34,EUR,used,9/6/2025,3.76
4476-1,Jabba's Prize,Star Wars,Episode VI,2003,40,2,"sw0002,sw0075",retail,6.99,5.99,,,,5.70201E+12,6.73419E+11,,,TRUE,140.8,57.19,53.24,68.63,148.46,169.25,-0.53,1.67,EUR,used,9/6/2025,57.19
4477-1,T-16 Skyhopper,Star Wars,Episode IV,2003,98,1,sw0077,retail,14.99,12.99,,,,5.70201E+12,6.73419E+11,6/1/2003,,TRUE,92,30.21,26.4,36.26,106.13,122.97,4.96,5.34,EUR,used,9/6/2025,30.8
4479-1,TIE Bomber,Star Wars,Episode V,2003,230,1,sw0035,retail,29.99,27.99,,,,5.70201E+12,6.73419E+11,,,TRUE,170.78,48.4,44.23,58.08,178.51,198.76,-0.65,0.5,EUR,used,9/6/2025,48.4
